model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20191203      2458820.0    14235.      1.    5.00E+000      0.4675      1.0198      0.0029     0.003     0.002     0.258     0.360     0.453
20191204      2458821.0     5010.      0.    5.00E+000      0.5620      0.9463      0.0029     0.000     0.000     0.458     0.557     0.597
20191205      2458822.0      388.      0.    5.00E+000      0.6539      0.8667      0.0029     0.000     0.000     0.719     0.815     0.723
20191206      2458823.0      367.      0.    5.00E+000      0.7408      0.7833      0.0029     0.000     0.000     0.693     0.585     0.451
20191207      2458824.0     1909.      1.    5.00E+000      0.8201      0.6989      0.0029     0.008     0.004     0.978     1.146     0.965
20191208      2458825.0        0.      0.    5.00E+000      0.8886      0.6162      0.0029     0.000     0.000     0.625     0.564     0.503
20191209      2458826.0     6993.      1.    5.00E+000      0.9450      0.5393      0.0029     0.005     0.002     0.648     0.712     0.601
20191210      2458827.0     5415.      1.    5.00E+000      0.9819      0.4715      0.0029     0.006     0.003     0.502     0.546     0.482
20191211      2458828.0        0.      0.    5.00E+000      0.9987      0.4187      0.0029     0.000     0.000     0.443     0.479     0.488
20191212      2458829.0        0.      0.    5.00E+000      0.9931      0.3862      0.0029     0.000     0.000     0.870     0.809     0.777
20191213      2458830.0     1741.      1.    5.00E+000      0.9638      0.3777      0.0029     0.013     0.006     0.906     0.873     0.618
20191214      2458831.0     7321.      1.    5.00E+000      0.9112      0.3957      0.0029     0.005     0.003     0.847     0.807     0.611
20191215      2458832.0        0.      0.    5.00E+000      0.8373      0.4396      0.0029     0.000     0.000     0.975     0.889     0.749
20191216      2458833.0        0.      0.    5.00E+000      0.7455      0.5054      0.0029     0.000     0.000     0.854     0.765     0.639
20191217      2458834.0      381.      0.    5.00E+000      0.6406      0.5882      0.0029     0.000     0.000     0.849     0.754     0.622
20191218      2458835.0        0.      0.    5.00E+000      0.5281      0.6823      0.0029     0.000     0.000     0.588     0.534     0.473
20191219      2458836.0      609.      1.    5.00E+000      0.4142      0.7881      0.0029     0.014     0.005     0.412     0.405     0.490
20191220      2458837.0     1939.      0.    5.00E+000      0.3049      0.9261      0.0029     0.000     0.000     0.371     0.383     0.463
20191221      2458838.0     5738.      1.    5.00E+000      0.2061      1.0860      0.0029     0.005     0.002     0.410     0.449     0.609
20191222      2458839.0    15871.      1.    5.00E+000      0.1230      1.2559      0.0029     0.003     0.001     0.417     0.425     0.507
20191223      2458840.0    20807.      1.    5.00E+000      0.0594      1.4318      0.0029     0.002     0.001     0.161     0.205     0.313
20191224      2458841.0    21555.      1.    5.00E+000      0.0184      1.5905      0.0029     0.002     0.001     0.167     0.221     0.318
20191225      2458842.0    21382.      1.    5.00E+000      0.0010      1.7468      0.0029     0.002     0.001     0.394     0.439     0.519
20191226      2458843.0    18853.      1.    5.00E+000      0.0067      1.6953      0.0029     0.003     0.002     0.369     0.420     0.459
20191227      2458844.0    22251.      1.    5.00E+000      0.0338      1.5442      0.0029     0.002     0.001     0.328     0.387     0.480
20191228      2458845.0     4106.      1.    5.00E+000      0.0796      1.4021      0.0029     0.006     0.002     0.374     0.350     0.415
20191229      2458846.0     3983.      1.    5.00E+000      0.1409      1.2632      0.0029     0.007     0.004     0.314     0.365     0.498
20191230      2458847.0     5437.      1.    5.00E+000      0.2147      1.1327      0.0029     0.005     0.002     0.395     0.408     0.506
20191231      2458848.0     9532.      1.    5.00E+000      0.2867      1.0121      0.0029     0.003     0.002     0.380     0.450     0.551
