model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0     3000.      1.    5.00E+000      0.0002      1.7679      0.0029     7.948    -0.108    10.357     9.665     8.864
20190106      2458489.0     9762.      1.    5.00E+000      0.0080      1.6613      0.0029     8.071    -0.165    10.489     9.796     9.005
20190107      2458490.0      847.      1.    5.00E+000      0.0334      1.5175      0.0029     8.100    -0.432     9.250     8.201     7.422
20190108      2458491.0        0.      0.    5.00E+000      0.0755      1.3749      0.0029     8.300    -0.300     6.880     6.450     6.246
20190109      2458492.0    11150.      1.    5.00E+000      0.1325      1.2316      0.0029     8.246    -0.260    10.466     9.901     9.241
20190110      2458493.0    13488.      1.    5.00E+000      0.2027      1.0947      0.0029     8.271    -0.258    10.533     9.913     9.257
20190111      2458494.0     6352.      1.    5.00E+000      0.2841      0.9646      0.0029     8.135    -0.196    10.043     9.537     8.927
20190112      2458495.0     5280.      1.    5.00E+000      0.3744      0.8471      0.0029     8.067    -0.181    10.159     9.610     8.888
20190113      2458496.0     9838.      1.    5.00E+000      0.4714      0.7519      0.0029     7.936    -0.137    10.493     9.867     9.095
20190114      2458497.0    12295.      1.    5.00E+000      0.5721      0.6710      0.0029     8.181    -0.220    10.525     9.959     9.265
20190115      2458498.0     9092.      1.    5.00E+000      0.6733      0.5928      0.0029     8.173    -0.229    10.286     9.678     9.001
20190116      2458499.0      114.      1.    5.00E+000      0.7699      0.5217      0.0029     8.165    -0.278     7.808     7.854     7.963
20190117      2458500.0        0.      0.    5.00E+000      0.8565      0.4629      0.0029     8.300    -0.300     7.856     7.750     7.573
20190118      2458501.0        0.      0.    5.00E+000      0.9277      0.4233      0.0029     8.300    -0.300     7.978     7.648     7.666
20190119      2458502.0      140.      1.    5.00E+000      0.9768      0.4085      0.0029     8.300    -0.300     8.421     8.192     7.916
20190120      2458503.0      505.      1.    5.00E+000      0.9988      0.4226      0.0029     8.013    -0.145     8.172     8.165     7.632
20190121      2458504.0      805.      1.    5.00E+000      0.9907      0.4652      0.0029     8.322    -0.413     8.750     8.464     7.801
20190122      2458505.0        0.      0.    5.00E+000      0.9527      0.5320      0.0029     8.300    -0.300     7.044     6.634     6.392
20190123      2458506.0        0.      0.    5.00E+000      0.8881      0.6150      0.0029     8.300    -0.300     6.618     6.416     6.246
20190124      2458507.0        0.      0.    5.00E+000      0.8029      0.7070      0.0029     8.300    -0.300     6.959     6.434     6.246
20190125      2458508.0      646.      1.    5.00E+000      0.7039      0.8004      0.0029     8.072    -0.210     9.167     8.858     8.268
20190126      2458509.0      826.      1.    5.00E+000      0.5978      0.8899      0.0029     7.890    -0.382     9.328     8.724     7.867
20190127      2458510.0        0.      0.    5.00E+000      0.4903      0.9713      0.0029     8.300    -0.300     7.154     6.841     6.704
20190128      2458511.0    10836.      1.    5.00E+000      0.3866      1.0505      0.0029     8.117    -0.184    10.373     9.788     9.067
20190129      2458512.0      546.      1.    5.00E+000      0.2903      1.1444      0.0029     7.735    -0.274     8.777     8.630     8.285
20190130      2458513.0       96.      1.    5.00E+000      0.2046      1.2488      0.0029     7.430    -0.201     9.712     9.173     8.146
