model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181100      2458422.0        0.      0.    5.00E+000      0.4540      0.5005      0.0029     0.000     0.000     0.301     0.327     0.481
20181101      2458423.0     1642.      1.    5.00E+000      0.3579      0.6481      0.0029     0.010     0.007     0.641     0.573     0.483
20181102      2458424.0        0.      0.    5.00E+000      0.2534      0.8331      0.0029     0.000     0.000     0.314     0.367     0.483
20181103      2458425.0      497.      1.    5.00E+000      0.1620      1.0307      0.0029     0.022     0.015     0.703     0.555     0.505
20181104      2458426.0     4050.      1.    5.00E+000      0.0888      1.2344      0.0029     0.007     0.004     0.979     0.779     0.553
20181105      2458427.0        0.      0.    5.00E+000      0.0367      1.4372      0.0029     0.000     0.000     0.518     0.493     0.554
20181106      2458428.0      631.      1.    5.00E+000      0.0080      1.6158      0.0029     0.021     0.012     0.786     0.668     0.573
20181107      2458429.0       56.      1.    5.00E+000      0.0030      1.6750      0.0029     0.109     0.065     0.732     0.603     0.593
20181108      2458430.0       55.      0.    5.00E+000      0.0204      1.5707      0.0029     0.000     0.000     0.980     0.856     0.644
20181109      2458431.0        0.      0.    5.00E+000      0.0582      1.4791      0.0029     0.000     0.000     0.540     0.488     0.535
20181110      2458432.0        0.      0.    5.00E+000      0.1130      1.3843      0.0029     0.000     0.000     0.716     0.660     0.621
20181111      2458433.0        0.      0.    5.00E+000      0.1817      1.2954      0.0029     0.000     0.000     0.698     0.531     0.529
20181112      2458434.0      246.      1.    5.00E+000      0.2611      1.2151      0.0029     0.032     0.022     0.892     0.808     0.598
20181113      2458435.0       57.      1.    5.00E+000      0.3481      1.1449      0.0029     0.050     0.023     1.034     0.940     0.662
20181114      2458436.0     8658.      1.    5.00E+000      0.4397      1.0870      0.0029     0.005     0.003     0.279     0.341     0.504
20181115      2458437.0     6189.      1.    5.00E+000      0.5338      1.0379      0.0029     0.006     0.004     0.272     0.319     0.459
20181116      2458438.0     8828.      1.    5.00E+000      0.6275      0.9766      0.0029     0.003     0.002     0.821     0.727     0.580
20181117      2458439.0     9378.      1.    5.00E+000      0.7180      0.9056      0.0029     0.004     0.002     0.443     0.545     0.587
20181118      2458440.0    10630.      1.    5.00E+000      0.8024      0.8274      0.0029     0.003     0.002     0.384     0.530     0.559
20181119      2458441.0     2012.      1.    5.00E+000      0.8764      0.7443      0.0029     0.010     0.006     0.987     0.833     0.631
20181120      2458442.0     5472.      1.    5.00E+000      0.9363      0.6600      0.0029     0.004     0.002     0.428     0.567     0.456
20181121      2458443.0      982.      1.    5.00E+000      0.9779      0.5786      0.0029     0.016     0.011     0.881     0.779     0.631
20181122      2458444.0        0.      0.    5.00E+000      0.9973      0.5057      0.0029     0.000     0.000     0.399     0.433     0.483
20181123      2458445.0        0.      0.    5.00E+000      0.9916      0.4474      0.0029     0.000     0.000     0.537     0.512     0.490
20181124      2458446.0        0.      0.    5.00E+000      0.9598      0.4093      0.0029     0.000     0.000     0.859     0.747     0.497
20181125      2458447.0        0.      0.    5.00E+000      0.9028      0.3964      0.0029     0.000     0.000     0.617     0.582     0.472
20181126      2458448.0     2344.      1.    5.00E+000      0.8233      0.4105      0.0029     0.009     0.005     0.772     0.767     0.538
20181127      2458449.0    12687.      1.    5.00E+000      0.7268      0.4500      0.0029     0.003     0.002     0.333     0.345     0.358
20181128      2458450.0    11578.      1.    5.00E+000      0.6189      0.5100      0.0029     0.003     0.002     0.493     0.495     0.456
20181129      2458451.0     6499.      1.    5.00E+000      0.5060      0.5855      0.0029     0.005     0.003     0.565     0.517     0.435
20181130      2458452.0        0.      0.    5.00E+000      0.4203      2.1678      0.0029     0.000     0.000     0.077     0.225     0.438
