model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n               s_a0               s_xo               s_yo               s_xz               s_yz                s_v                s_s                s_d                s_j              s_phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20180101      2458119.0      265.      2.077182E-004      4.032886E-001      4.384679E-001      1.219489E-001      1.347467E-001      2.227436E-006      3.945766E-005      3.555666E-005      8.583692E-005      7.284231E-002
20180102      2458120.0     5922.      3.292531E-005      6.909829E-002      7.740287E-002      2.368147E-002      2.768510E-002      3.394292E-007      2.195961E-006      5.971053E-006      2.402671E-005      3.341373E-002
20180103      2458121.0       90.      2.824448E-004      6.841928E-001      7.162247E-001      1.761985E-001      2.021910E-001      2.927896E-006      4.083297E-005      6.459070E-005      9.742644E-005      1.346085E-001
20180104      2458122.0       69.      4.415388E-004      7.864290E-001      9.505972E-001      3.343087E-001      3.496581E-001      4.484932E-006      5.342598E-005      6.185401E-005      1.490843E-004      1.295095E-001
20180105      2458123.0      256.      2.558235E-004      4.850123E-001      4.999403E-001      1.982984E-001      2.249467E-001      2.652790E-006      2.970127E-005      4.138715E-005      6.784164E-005      2.205721E-001
20180106      2458124.0     6707.      2.930603E-005      6.404823E-002      7.225481E-002      1.981998E-002      2.276089E-002      2.929270E-007      2.250715E-006      5.891514E-006      2.131941E-005      2.963370E-002
20180110      2458128.0     7344.      2.991307E-005      6.362405E-002      7.234904E-002      2.196365E-002      2.503850E-002      3.066596E-007      2.166433E-006      5.518184E-006      2.234345E-005      2.811021E-002
20180112      2458130.0     1708.      7.282455E-005      1.421768E-001      1.695870E-001      5.592221E-002      6.386576E-002      8.014623E-007      8.327437E-006      1.224854E-005      3.832056E-005      7.397803E-002
20180113      2458131.0     4485.      3.584500E-005      8.279030E-002      9.522080E-002      2.344010E-002      2.707965E-002      3.647874E-007      3.469340E-006      8.261114E-006      2.904577E-005      3.540744E-002
20180114      2458132.0     1771.      7.422901E-005      1.442607E-001      1.711688E-001      4.727059E-002      5.423017E-002      7.846081E-007      9.656585E-006      1.323725E-005      6.322985E-005      7.064479E-002
20180115      2458133.0     3652.      6.623604E-005      1.239283E-001      1.395709E-001      4.620387E-002      5.241293E-002      6.509675E-007      7.933277E-006      1.106584E-005      4.741355E-005      6.584440E-002
20180117      2458135.0    10170.      2.391318E-005      5.152211E-002      5.678177E-002      1.776638E-002      2.037172E-002      2.408884E-007      1.537960E-006      4.296194E-006      1.629314E-005      2.037862E-002
20180118      2458136.0      637.      1.856743E-004      3.237955E-001      3.590205E-001      1.418641E-001      1.586672E-001      1.866306E-006      3.202222E-005      2.928015E-005      1.079986E-004      1.287367E-001
20180120      2458138.0     2724.      6.472082E-005      1.284300E-001      1.487742E-001      4.081859E-002      4.862209E-002      6.750149E-007      1.085735E-005      1.170589E-005      5.104780E-005      8.225059E-002
20180121      2458139.0     9842.      2.463372E-005      5.384764E-002      5.996437E-002      1.829806E-002      2.096276E-002      2.464067E-007      1.635671E-006      4.703299E-006      1.706173E-005      2.021422E-002
20180122      2458140.0      826.      1.416950E-004      2.565962E-001      3.036952E-001      9.085962E-002      1.042263E-001      1.494122E-006      4.497920E-005      2.464418E-005      8.775558E-005      1.350485E-001
20180123      2458141.0    10001.      2.415609E-005      5.221203E-002      5.890302E-002      1.759203E-002      2.035847E-002      2.437089E-007      1.666676E-006      4.529266E-006      1.803004E-005      2.195699E-002
20180124      2458142.0     9610.      2.437894E-005      5.338406E-002      6.000863E-002      1.764456E-002      2.021288E-002      2.462022E-007      1.775817E-006      4.664286E-006      1.774497E-005      2.010246E-002
20180125      2458143.0     4912.      3.391150E-005      7.756557E-002      8.649085E-002      2.470627E-002      2.837336E-002      3.470295E-007      2.662700E-006      6.914650E-006      2.511697E-005      3.239234E-002
20180126      2458144.0     3091.      4.289749E-005      1.019140E-001      1.121832E-001      3.098157E-002      3.531353E-002      4.421119E-007      4.404991E-006      9.042680E-006      3.482579E-005      4.258446E-002
20180127      2458145.0     1460.      6.967250E-005      1.647983E-001      1.789908E-001      4.939078E-002      5.563906E-002      6.827606E-007      6.268248E-006      1.505474E-005      4.867212E-005      4.853221E-002
20180128      2458146.0     1301.      6.183011E-005      1.457008E-001      1.563265E-001      4.343149E-002      5.028713E-002      6.287771E-007      5.174408E-006      1.320157E-005      3.887624E-005      4.806948E-002
