model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -1.466365E-004      1.207541E-005      2.015866E-005      1.993453E-004      6.270035E-005      1.442257E-005
           0.087266                NaN                NaN                NaN      8.007679E-005      2.000186E-005      1.445409E-005
           0.174533                NaN                NaN                NaN      3.564673E-005      1.551095E-005      1.492412E-005
           0.261799                NaN                NaN                NaN     -9.352685E-005      1.286435E-005      1.569822E-005
           0.349066     -3.877741E-005      1.675083E-005      2.044967E-005     -7.919281E-005      1.228212E-005      1.667792E-005
           0.436332                NaN                NaN                NaN     -3.712744E-005      1.240056E-005      1.775782E-005
           0.523599                NaN                NaN                NaN     -1.340243E-005      1.277725E-005      1.883496E-005
           0.610865                NaN                NaN                NaN      1.445227E-005      1.365604E-005      1.981512E-005
           0.698132     -2.050878E-005      1.391183E-005      2.023245E-005      1.436681E-004      1.454984E-005      2.062387E-005
           0.785398                NaN                NaN                NaN      1.330888E-004      1.524557E-005      2.123255E-005
           0.872665                NaN                NaN                NaN      1.014533E-004      1.833483E-005      2.171421E-005
           0.959931                NaN                NaN                NaN     -8.287126E-005      2.092761E-005      2.234459E-005
           1.047198      4.470691E-005      1.372352E-005      1.811812E-005     -3.794270E-004      2.483395E-005      2.372964E-005
           1.134464                NaN                NaN                NaN     -2.637449E-004      3.172921E-005      2.682300E-005
           1.221731                NaN                NaN                NaN      4.587384E-004      4.305434E-005      3.263964E-005
           1.308997                NaN                NaN                NaN      2.114842E-003      7.866541E-005      4.185526E-005
           1.396263      1.109858E-004      1.312234E-005      1.698775E-005      4.655861E-003      3.337062E-004      5.474520E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      7.137765E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      9.175226E-005
           1.745329      1.650860E-004      1.414092E-005      1.696609E-005                NaN                NaN                NaN
           2.094395      1.355612E-005      1.566200E-005      1.780029E-005                NaN                NaN                NaN
           2.443461     -1.402481E-004      1.741215E-005      1.896394E-005                NaN                NaN                NaN
           2.792527     -1.173742E-004      1.816435E-005      1.991190E-005                NaN                NaN                NaN
           3.141593     -6.833654E-005      1.638612E-005      2.031856E-005                NaN                NaN                NaN
           3.490659      1.873271E-006      1.527827E-005      2.024533E-005                NaN                NaN                NaN
           3.839725      1.912967E-005      1.553118E-005      2.012936E-005                NaN                NaN                NaN
           4.188790     -3.402817E-006      1.416642E-005      1.810220E-005                NaN                NaN                NaN
           4.537856     -2.490291E-006      1.348253E-005      1.656973E-005                NaN                NaN                NaN
           4.886922      9.404942E-005      1.376305E-005      1.638403E-005                NaN                NaN                NaN
           5.235988      1.092646E-004      1.525366E-005      1.722240E-005                NaN                NaN                NaN
           5.585054      2.092932E-005      1.166074E-005      1.847221E-005                NaN                NaN                NaN
           5.934120     -1.033753E-004      1.139126E-005      1.954988E-005                NaN                NaN                NaN
           6.283185     -1.466365E-004      1.207541E-005      2.015866E-005                NaN                NaN                NaN
