model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190600      2458634.0     1084.      1.    5.00E+000      0.0648      1.5602      0.0028     7.922    -0.073    10.243     9.830     9.265
20190601      2458635.0        0.      0.    5.00E+000      0.0267      1.6813      0.0028     8.300    -0.300     7.008     7.197     7.737
20190602      2458636.0        0.      0.    5.00E+000      0.0036      1.7792      0.0028     8.300    -0.300     7.980     7.752     7.476
20190603      2458637.0       34.      0.    5.00E+000      0.0042      1.7285      0.0028     8.300    -0.300     7.053     6.938     7.331
20190604      2458638.0        0.      0.    5.00E+000      0.0301      1.5485      0.0028     8.300    -0.300     6.783     6.843     7.201
20190605      2458639.0       32.      1.    5.00E+000      0.0812      1.3785      0.0028     8.300    -0.300     9.533     8.847     8.010
20190606      2458640.0     2304.      1.    5.00E+000      0.1551      1.2103      0.0028     8.113    -0.285     9.946     9.493     8.892
20190607      2458641.0      753.      1.    5.00E+000      0.2480      1.0551      0.0028     8.252    -0.376     9.729     9.177     8.855
20190608      2458642.0     1864.      0.    5.00E+000      0.3542      0.9176      0.0028     8.300    -0.300     9.859     9.415     8.833
20190609      2458643.0     1042.      1.    5.00E+000      0.4678      0.8160      0.0028     8.300    -0.300     9.718     9.247     8.730
20190610      2458644.0      140.      1.    5.00E+000      0.5821      0.7581      0.0028     8.300    -0.300     9.203     8.833     8.566
20190611      2458645.0      924.      0.    5.00E+000      0.6915      0.7698      0.0028     8.300    -0.300     9.653     9.243     8.730
20190612      2458646.0      500.      0.    5.00E+000      0.7896      0.8108      0.0028     8.300    -0.300     9.425     9.088     8.455
20190613      2458647.0     1427.      0.    5.00E+000      0.8722      0.8916      0.0028     8.300    -0.300     9.630     9.198     8.626
20190614      2458648.0        0.      0.    5.00E+000      0.9357      0.9700      0.0028     8.300    -0.300     8.353     8.217     8.263
20190615      2458649.0        0.      0.    5.00E+000      0.9779      1.0335      0.0028     8.300    -0.300     8.881     8.067     7.539
20190616      2458650.0      561.      1.    5.00E+000      0.9978      1.0784      0.0028     8.069    -0.094     9.400     8.975     8.305
20190617      2458651.0      307.      1.    5.00E+000      0.9959      1.1026      0.0028     8.300    -0.300     9.354     8.937     8.367
20190618      2458652.0     1316.      0.    5.00E+000      0.9735      1.1051      0.0028     8.300    -0.300     9.529     9.116     8.529
20190619      2458653.0      599.      1.    5.00E+000      0.9326      1.0871      0.0028     8.723    -0.638     9.495     9.010     8.200
20190620      2458654.0      911.      1.    5.00E+000      0.8759      1.0512      0.0028     7.722    -0.088     9.682     9.132     8.432
20190621      2458655.0      373.      1.    5.00E+000      0.8060      1.0081      0.0028     8.300    -0.300     9.576     9.057     8.502
20190622      2458656.0      209.      0.    5.00E+000      0.7257      0.9851      0.0028     8.300    -0.300     9.582     9.149     8.684
20190623      2458657.0     1564.      0.    5.00E+000      0.6375      0.9831      0.0028     8.300    -0.300     9.855     9.334     8.595
20190624      2458658.0     3481.      1.    5.00E+000      0.5440      1.0057      0.0028     8.169    -0.164    10.244     9.811     9.259
20190625      2458659.0     2794.      1.    5.00E+000      0.4479      1.0499      0.0028     8.300    -0.300    10.101     9.651     9.063
20190626      2458660.0     2145.      1.    5.00E+000      0.3519      1.1160      0.0028     8.150    -0.161     9.996     9.579     9.051
20190627      2458661.0     3432.      1.    5.00E+000      0.2595      1.2007      0.0028     8.204    -0.195    10.190     9.730     9.141
20190628      2458662.0     2560.      0.    5.00E+000      0.1744      1.3027      0.0028     8.300    -0.300    10.123     9.615     9.040
20190629      2458663.0     3835.      1.    5.00E+000      0.1012      1.4162      0.0028     8.224    -0.220    10.227     9.859     9.352
20190630      2458664.0     1749.      1.    5.00E+000      0.0472      1.9255      0.0028     8.300    -0.300    10.054     9.634     9.115
