model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190600      2458634.0     1084.      1.    5.00E+000      0.0648      1.5602      0.0028     0.017     0.014     0.286     0.368     0.541
20190601      2458635.0        0.      0.    5.00E+000      0.0267      1.6813      0.0028     0.000     0.000     0.171     0.322     0.594
20190602      2458636.0        0.      0.    5.00E+000      0.0036      1.7792      0.0028     0.000     0.000     1.059     0.830     0.561
20190603      2458637.0       34.      0.    5.00E+000      0.0042      1.7285      0.0028     0.000     0.000     1.112     0.840     0.599
20190604      2458638.0        0.      0.    5.00E+000      0.0301      1.5485      0.0028     0.000     0.000     0.745     0.598     0.576
20190605      2458639.0       32.      1.    5.00E+000      0.0812      1.3785      0.0028     0.341     0.284     0.902     0.804     0.521
20190606      2458640.0     2304.      1.    5.00E+000      0.1551      1.2103      0.0028     0.018     0.015     0.147     0.254     0.430
20190607      2458641.0      753.      1.    5.00E+000      0.2480      1.0551      0.0028     0.034     0.028     0.489     0.411     0.500
20190608      2458642.0     1864.      0.    5.00E+000      0.3542      0.9176      0.0028     0.000     0.000     0.153     0.257     0.453
20190609      2458643.0     1042.      1.    5.00E+000      0.4678      0.8160      0.0028     0.030     0.024     0.225     0.324     0.490
20190610      2458644.0      140.      1.    5.00E+000      0.5821      0.7581      0.0028     0.109     0.091     0.438     0.470     0.488
20190611      2458645.0      924.      0.    5.00E+000      0.6915      0.7698      0.0028     0.000     0.000     0.198     0.456     0.521
20190612      2458646.0      500.      0.    5.00E+000      0.7896      0.8108      0.0028     0.000     0.000     0.238     0.454     0.500
20190613      2458647.0     1427.      0.    5.00E+000      0.8722      0.8916      0.0028     0.000     0.000     0.251     0.507     0.581
20190614      2458648.0        0.      0.    5.00E+000      0.9357      0.9700      0.0028     0.000     0.000     0.410     0.432     0.556
20190615      2458649.0        0.      0.    5.00E+000      0.9779      1.0335      0.0028     0.000     0.000     0.618     0.613     0.534
20190616      2458650.0      561.      1.    5.00E+000      0.9978      1.0784      0.0028     0.030     0.021     0.090     0.442     0.633
20190617      2458651.0      307.      1.    5.00E+000      0.9959      1.1026      0.0028     0.061     0.048     0.080     0.410     0.665
20190618      2458652.0     1316.      0.    5.00E+000      0.9735      1.1051      0.0028     0.000     0.000     0.117     0.371     0.592
20190619      2458653.0      599.      1.    5.00E+000      0.9326      1.0871      0.0028     0.041     0.032     0.496     0.603     0.586
20190620      2458654.0      911.      1.    5.00E+000      0.8759      1.0512      0.0028     0.025     0.020     0.434     0.495     0.488
20190621      2458655.0      373.      1.    5.00E+000      0.8060      1.0081      0.0028     0.075     0.061     0.302     0.345     0.410
20190622      2458656.0      209.      0.    5.00E+000      0.7257      0.9851      0.0028     0.000     0.000     0.220     0.327     0.475
20190623      2458657.0     1564.      0.    5.00E+000      0.6375      0.9831      0.0028     0.000     0.000     0.219     0.296     0.439
20190624      2458658.0     3481.      1.    5.00E+000      0.5440      1.0057      0.0028     0.013     0.009     0.478     0.582     0.588
20190625      2458659.0     2794.      1.    5.00E+000      0.4479      1.0499      0.0028     0.015     0.011     0.158     0.267     0.477
20190626      2458660.0     2145.      1.    5.00E+000      0.3519      1.1160      0.0028     0.015     0.011     0.246     0.382     0.478
20190627      2458661.0     3432.      1.    5.00E+000      0.2595      1.2007      0.0028     0.013     0.010     0.168     0.256     0.433
20190628      2458662.0     2560.      0.    5.00E+000      0.1744      1.3027      0.0028     0.000     0.000     0.467     0.580     0.604
20190629      2458663.0     3835.      1.    5.00E+000      0.1012      1.4162      0.0028     0.012     0.009     0.147     0.254     0.458
20190630      2458664.0     1749.      1.    5.00E+000      0.0472      1.9255      0.0028     0.019     0.014     0.137     0.235     0.446
