model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0     3340.      1.    5.00E+000      0.0002      1.7595      0.0029     8.177    -0.244    10.274     9.756     9.184
20190106      2458489.0    12627.      1.    5.00E+000      0.0079      1.6379      0.0029     8.107    -0.191    10.322     9.859     9.329
20190107      2458490.0      759.      1.    5.00E+000      0.0333      1.5096      0.0029     7.670    -0.030     8.697     8.308     7.763
20190108      2458491.0     2279.      1.    5.00E+000      0.0753      1.3818      0.0029     8.134    -0.212     7.350     7.075     7.062
20190109      2458492.0      882.      1.    5.00E+000      0.1323      1.2295      0.0029     7.792    -0.075     8.625     8.443     8.310
20190110      2458493.0     7486.      1.    5.00E+000      0.1962      1.1121      0.0029     8.115    -0.184    10.245     9.776     9.214
20190111      2458494.0     4150.      1.    5.00E+000      0.2838      0.9822      0.0029     8.149    -0.208     9.293     8.928     8.802
20190112      2458495.0     4889.      1.    5.00E+000      0.3744      0.8636      0.0029     8.068    -0.213    10.057     9.558     8.928
20190113      2458496.0     6844.      1.    5.00E+000      0.4710      0.7661      0.0029     8.005    -0.154    10.082     9.546     9.078
20190114      2458497.0    10269.      1.    5.00E+000      0.5717      0.6850      0.0029     8.170    -0.213    10.269     9.817     9.312
20190115      2458498.0     8421.      1.    5.00E+000      0.6726      0.6071      0.0029     8.054    -0.163    10.162     9.665     9.134
20190116      2458499.0        0.      0.    5.00E+000      0.7527      0.5358      0.0029     8.300    -0.300     7.334     7.117     7.247
20190117      2458500.0      441.      1.    5.00E+000      0.8562      0.4771      0.0029     8.579    -0.135     7.420     7.272     7.126
20190118      2458501.0        0.      0.    5.00E+000      0.9274      0.4372      0.0029     8.300    -0.300     7.443     7.329     7.327
20190119      2458502.0        0.      0.    5.00E+000      0.9704      0.4480      0.0029     8.300    -0.300     7.537     7.403     7.479
20190120      2458503.0     1149.      1.    5.00E+000      0.9988      0.4366      0.0029     8.232    -0.365     8.448     8.358     7.991
20190121      2458504.0      851.      1.    5.00E+000      0.9907      0.4792      0.0029     8.137    -0.217     8.680     8.462     8.045
20190122      2458505.0     1100.      1.    5.00E+000      0.9527      0.5456      0.0029     7.886    -0.196     8.856     8.206     7.901
20190123      2458506.0        0.      0.    5.00E+000      0.8883      0.6287      0.0029     8.300    -0.300     7.888     7.590     7.419
20190124      2458507.0     5067.      1.    5.00E+000      0.8032      0.7204      0.0029     8.038    -0.227     9.662     9.113     8.535
20190125      2458508.0     6034.      1.    5.00E+000      0.7043      0.8140      0.0029     7.976    -0.147     9.927     9.422     8.802
20190126      2458509.0     1093.      1.    5.00E+000      0.5981      0.9037      0.0029     8.041    -0.520     9.327     8.843     8.376
20190127      2458510.0        0.      0.    5.00E+000      0.4904      0.9851      0.0029     8.300    -0.300     7.716     7.443     7.328
20190128      2458511.0     9190.      1.    5.00E+000      0.3870      1.0672      0.0029     8.206    -0.236    10.382     9.861     9.199
20190129      2458512.0      406.      0.    5.00E+000      0.2907      1.1644      0.0029     8.300    -0.300     8.856     8.493     8.060
20190130      2458513.0      225.      1.    5.00E+000      0.2049      1.2706      0.0029     7.589    -0.089     8.555     8.068     7.992
