model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0     2947.      1.    5.00E+000      0.0002      1.7705      0.0029     0.006     0.003     0.390     0.446     0.443
20190106      2458489.0    12144.      1.    5.00E+000      0.0080      1.6555      0.0029     0.003     0.001     0.383     0.421     0.432
20190107      2458490.0     2103.      1.    5.00E+000      0.0334      1.5153      0.0029     0.008     0.004     0.419     0.336     0.492
20190108      2458491.0        0.      0.    5.00E+000      0.0755      1.3723      0.0029     0.000     0.000     0.446     0.524     0.620
20190109      2458492.0    12406.      1.    5.00E+000      0.1325      1.2306      0.0029     0.003     0.001     0.428     0.433     0.495
20190110      2458493.0    16790.      1.    5.00E+000      0.2027      1.0924      0.0029     0.002     0.001     0.266     0.330     0.399
20190111      2458494.0     5595.      1.    5.00E+000      0.2840      0.9626      0.0029     0.004     0.002     0.561     0.545     0.553
20190112      2458495.0     6198.      1.    5.00E+000      0.3744      0.8463      0.0029     0.005     0.003     0.629     0.599     0.534
20190113      2458496.0    10420.      1.    5.00E+000      0.4714      0.7516      0.0029     0.003     0.002     0.536     0.663     0.554
20190114      2458497.0    13228.      1.    5.00E+000      0.5724      0.6709      0.0029     0.002     0.001     0.399     0.564     0.466
20190115      2458498.0    10153.      1.    5.00E+000      0.6733      0.5925      0.0029     0.003     0.001     0.482     0.600     0.504
20190116      2458499.0        0.      0.    5.00E+000      0.7699      0.5214      0.0029     0.000     0.000     0.808     0.760     0.587
20190117      2458500.0       35.      1.    5.00E+000      0.8568      0.4627      0.0029     0.171     0.049     1.414     1.165     0.864
20190118      2458501.0        0.      0.    5.00E+000      0.9279      0.4230      0.0029     0.000     0.000     0.860     0.805     0.683
20190119      2458502.0        0.      0.    5.00E+000      0.9768      0.4083      0.0029     0.000     0.000     0.494     0.801     0.586
20190120      2458503.0      292.      1.    5.00E+000      0.9988      0.4224      0.0029     0.043     0.019     1.354     1.230     0.926
20190121      2458504.0      377.      1.    5.00E+000      0.9907      0.4650      0.0029     0.038     0.016     0.912     0.834     0.608
20190122      2458505.0        0.      0.    5.00E+000      0.9526      0.5317      0.0029     0.000     0.000     0.914     0.957     0.801
20190123      2458506.0        0.      0.    5.00E+000      0.8881      0.6149      0.0029     0.000     0.000     0.204     0.242     0.344
20190124      2458507.0        0.      0.    5.00E+000      0.8029      0.7069      0.0029     0.000     0.000     0.920     0.960     0.725
20190125      2458508.0      911.      1.    5.00E+000      0.7037      0.8002      0.0029     0.014     0.006     0.741     0.793     0.584
20190126      2458509.0      879.      1.    5.00E+000      0.5981      0.8899      0.0029     0.011     0.006     0.833     0.717     0.518
20190127      2458510.0        0.      0.    5.00E+000      0.4904      0.9713      0.0029     0.000     0.000     0.503     0.485     0.649
20190128      2458511.0    14524.      1.    5.00E+000      0.3866      1.0530      0.0029     0.002     0.001     0.216     0.249     0.311
20190129      2458512.0      493.      1.    5.00E+000      0.2903      1.1443      0.0029     0.016     0.010     0.503     0.445     0.393
20190130      2458513.0       76.      0.    5.00E+000      0.2046      1.2494      0.0029     0.000     0.000     0.521     0.460     0.503
