model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20180900      2458361.0       43.      1.    5.00E+000      0.7141      0.5896      0.0029     8.557    -0.123     8.056     7.979     7.872
20180901      2458362.0      731.      0.    5.00E+000      0.6244      0.5400      0.0029     8.300    -0.300     8.663     8.351     8.475
20180902      2458363.0     2413.      1.    5.00E+000      0.5164      0.5677      0.0029     8.047    -0.208     9.849     9.399     8.709
20180903      2458364.0     9234.      1.    5.00E+000      0.4047      0.6691      0.0029     8.300    -0.300    10.340     9.919     9.201
20180904      2458365.0     8719.      1.    5.00E+000      0.2953      0.8201      0.0029     8.300    -0.300    10.309     9.852     9.177
20180905      2458366.0     4716.      1.    5.00E+000      0.1949      1.0040      0.0029     8.178    -0.391    10.028     9.517     8.777
20180906      2458367.0      430.      0.    5.00E+000      0.1096      1.2052      0.0029     8.300    -0.300     8.538     8.520     8.562
20180907      2458368.0     4565.      1.    5.00E+000      0.0461      1.3842      0.0029     8.268    -0.481    10.006     9.484     8.561
20180908      2458369.0     7757.      1.    5.00E+000      0.0095      1.5859      0.0029     8.323    -0.395    10.307     9.788     9.034
20180909      2458370.0     1850.      1.    5.00E+000      0.0019      1.7150      0.0029     8.028    -0.547     9.932     9.480     8.752
20180910      2458371.0     3910.      1.    5.00E+000      0.0226      1.5809      0.0029     8.151    -0.434     9.993     9.488     8.685
20180911      2458372.0     3944.      1.    5.00E+000      0.0685      1.5002      0.0029     8.317    -0.555    10.017     9.434     8.597
20180912      2458373.0      905.      1.    5.00E+000      0.1349      1.4203      0.0029     8.094    -0.581     9.693     9.219     8.529
20180913      2458374.0        0.      0.    5.00E+000      0.2163      1.3460      0.0029     8.300    -0.300     9.458     8.846     8.236
20180914      2458375.0     3943.      1.    5.00E+000      0.3075      1.2796      0.0029     7.945    -0.195    10.055     9.546     8.817
20180915      2458376.0      601.      1.    5.00E+000      0.4039      1.2098      0.0029     8.158    -0.721     9.576     9.067     8.395
20180916      2458377.0      502.      1.    5.00E+000      0.5015      1.1762      0.0029     7.909    -0.411     9.082     8.813     8.229
20180917      2458378.0      502.      1.    5.00E+000      0.5971      1.1559      0.0029     8.115    -0.524     9.428     9.007     8.362
20180918      2458379.0     2271.      1.    5.00E+000      0.6878      1.1486      0.0029     8.267    -0.685     9.900     9.251     8.366
20180919      2458380.0     2101.      1.    5.00E+000      0.7714      1.1333      0.0029     8.444    -0.806     9.774     9.141     8.207
20180920      2458381.0     3920.      1.    5.00E+000      0.8451      1.1018      0.0029     8.195    -0.451     9.859     9.287     8.417
20180921      2458382.0      246.      1.    5.00E+000      0.9071      1.0554      0.0029     8.265    -0.988     9.309     8.802     8.290
20180922      2458383.0     1212.      1.    5.00E+000      0.9547      0.9964      0.0029     8.342    -0.725     9.353     8.787     8.065
20180923      2458384.0     2916.      1.    5.00E+000      0.9858      0.9272      0.0029     8.293    -0.434     9.547     9.037     8.341
20180924      2458385.0     3186.      1.    5.00E+000      0.9983      0.8506      0.0029     8.100    -0.231     9.521     8.956     8.442
20180925      2458386.0     4232.      1.    5.00E+000      0.9907      0.7696      0.0029     8.128    -0.265     9.519     9.175     8.603
20180926      2458387.0     3031.      1.    5.00E+000      0.9624      0.6879      0.0029     8.232    -0.363     9.457     9.057     8.430
20180927      2458388.0     4226.      1.    5.00E+000      0.9134      0.6095      0.0029     8.249    -0.404     9.564     9.214     8.422
20180928      2458389.0     4435.      1.    5.00E+000      0.8450      0.5390      0.0029     8.232    -0.379     9.736     9.245     8.450
20180929      2458390.0     4997.      1.    5.00E+000      0.7594      0.4807      0.0029     8.237    -0.395     9.882     9.401     8.758
