model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190105      2458488.0     4181.      1.    5.00E+000      0.0002      1.7637      0.0029     0.005     0.003     0.775     0.724     0.562
20190106      2458489.0    14445.      1.    5.00E+000      0.0079      1.6339      0.0029     0.003     0.002     0.221     0.310     0.477
20190107      2458490.0     1504.      1.    5.00E+000      0.0333      1.5062      0.0029     0.013     0.008     0.751     0.662     0.546
20190108      2458491.0     3521.      1.    5.00E+000      0.0753      1.3677      0.0029     0.006     0.003     0.559     0.611     0.705
20190109      2458492.0      313.      1.    5.00E+000      0.1323      1.2285      0.0029     0.026     0.015     0.769     0.696     0.779
20190110      2458493.0    13204.      1.    5.00E+000      0.2027      1.1103      0.0029     0.003     0.002     0.220     0.263     0.394
20190111      2458494.0     4377.      1.    5.00E+000      0.2841      0.9809      0.0029     0.006     0.003     0.991     0.923     0.904
20190112      2458495.0     6838.      1.    5.00E+000      0.3744      0.8631      0.0029     0.005     0.003     1.116     1.028     0.818
20190113      2458496.0     7899.      1.    5.00E+000      0.4714      0.7657      0.0029     0.004     0.003     0.761     0.754     0.714
20190114      2458497.0    11897.      1.    5.00E+000      0.5718      0.6847      0.0029     0.003     0.002     0.324     0.393     0.405
20190115      2458498.0     9945.      1.    5.00E+000      0.6726      0.6067      0.0029     0.004     0.002     0.390     0.451     0.436
20190116      2458499.0        0.      0.    5.00E+000      0.7692      0.5356      0.0029     0.000     0.000     0.330     0.358     0.410
20190117      2458500.0      112.      1.    5.00E+000      0.8562      0.4768      0.0029     0.067     0.037     1.363     1.209     1.003
20190118      2458501.0        0.      0.    5.00E+000      0.9274      0.4370      0.0029     0.000     0.000     0.324     0.357     0.336
20190119      2458502.0      459.      1.    5.00E+000      0.9768      0.4222      0.0029     0.026     0.018     1.101     0.965     0.672
20190120      2458503.0     1271.      1.    5.00E+000      0.9988      0.4364      0.0029     0.019     0.014     0.980     0.882     0.672
20190121      2458504.0      894.      1.    5.00E+000      0.9907      0.4790      0.0029     0.021     0.015     0.474     0.632     0.482
20190122      2458505.0     2710.      1.    5.00E+000      0.9527      0.5454      0.0029     0.007     0.004     0.861     0.866     0.583
20190123      2458506.0        0.      0.    5.00E+000      0.8884      0.6284      0.0029     0.000     0.000     0.529     0.556     0.451
20190124      2458507.0     6709.      1.    5.00E+000      0.8032      0.7202      0.0029     0.005     0.003     0.206     0.424     0.398
20190125      2458508.0     8460.      1.    5.00E+000      0.7043      0.8137      0.0029     0.004     0.003     0.312     0.488     0.459
20190126      2458509.0     1253.      1.    5.00E+000      0.5978      0.9034      0.0029     0.014     0.010     0.712     0.702     0.635
20190127      2458510.0        0.      0.    5.00E+000      0.4903      0.9849      0.0029     0.000     0.000     0.612     0.573     0.628
20190128      2458511.0     4780.      1.    5.00E+000      0.3866      1.0618      0.0029     0.006     0.003     0.244     0.295     0.432
20190129      2458512.0      796.      1.    5.00E+000      0.2907      1.1647      0.0029     0.018     0.014     0.694     0.614     0.560
20190130      2458513.0      846.      1.    5.00E+000      0.2049      1.2710      0.0029     0.016     0.007     1.050     0.961     0.742
