model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181200      2458452.0        0.      0.    5.00E+000      0.3780      0.7126      0.0029     0.000     0.000     0.105     0.355     0.565
20181201      2458453.0      919.      1.    5.00E+000      0.2894      0.8626      0.0029     0.041     0.024     0.795     0.756     0.601
20181202      2458454.0     9551.      1.    5.00E+000      0.1961      1.0304      0.0029     0.005     0.003     0.557     0.612     0.565
20181203      2458455.0     8170.      1.    5.00E+000      0.1182      1.1824      0.0029     0.005     0.002     1.166     1.085     0.869
20181204      2458456.0    10359.      1.    5.00E+000      0.0591      1.3578      0.0029     0.005     0.003     0.285     0.338     0.475
20181205      2458457.0        0.      0.    5.00E+000      0.0202      1.5298      0.0029     0.000     0.000     0.784     0.668     0.517
20181206      2458458.0     2187.      1.    5.00E+000      0.0025      1.7053      0.0029     0.012     0.007     0.240     0.292     0.333
20181207      2458459.0     5332.      1.    5.00E+000      0.0054      1.6786      0.0029     0.007     0.004     0.478     0.478     0.558
20181208      2458460.0     9975.      1.    5.00E+000      0.0277      1.5336      0.0029     0.004     0.003     0.263     0.326     0.488
20181209      2458461.0     9210.      1.    5.00E+000      0.0680      1.4432      0.0029     0.005     0.003     0.219     0.390     0.539
20181210      2458462.0     9728.      1.    5.00E+000      0.1233      1.3111      0.0029     0.005     0.003     0.272     0.324     0.479
20181211      2458463.0     8651.      1.    5.00E+000      0.1921      1.2201      0.0029     0.005     0.003     0.266     0.387     0.507
20181212      2458464.0        0.      0.    5.00E+000      0.2712      1.1190      0.0029     0.000     0.000     0.184     0.240     0.466
20181213      2458465.0      430.      1.    5.00E+000      0.3586      1.0293      0.0029     0.029     0.016     0.687     0.607     0.628
