model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181200      2458452.0        0.      0.    5.00E+000      0.3780      0.7126      0.0029     9.000    -0.300     7.605     7.424     7.431
20181201      2458453.0      919.      1.    5.00E+000      0.2894      0.8626      0.0029     9.278    -0.011     8.932     8.443     8.030
20181202      2458454.0     9551.      1.    5.00E+000      0.1961      1.0304      0.0029     8.838    -0.092     9.739     9.261     8.694
20181203      2458455.0     8170.      1.    5.00E+000      0.1182      1.1824      0.0029     8.928    -0.140     9.826     9.303     8.695
20181204      2458456.0    10359.      1.    5.00E+000      0.0591      1.3578      0.0029     8.928    -0.122     9.724     9.263     8.776
20181205      2458457.0        0.      0.    5.00E+000      0.0202      1.5298      0.0029     9.000    -0.300     7.352     7.189     7.261
20181206      2458458.0     2187.      1.    5.00E+000      0.0025      1.7053      0.0029     8.763    -0.309     9.308     8.843     8.430
20181207      2458459.0     5332.      1.    5.00E+000      0.0054      1.6786      0.0029     9.149    -0.257     9.720     9.153     8.502
20181208      2458460.0     9975.      1.    5.00E+000      0.0277      1.5336      0.0029     8.907    -0.098     9.679     9.226     8.749
20181209      2458461.0     9210.      1.    5.00E+000      0.0680      1.4432      0.0029     8.886    -0.110     9.685     9.187     8.714
20181210      2458462.0     9728.      1.    5.00E+000      0.1233      1.3111      0.0029     8.876    -0.090     9.689     9.226     8.709
20181211      2458463.0     8651.      1.    5.00E+000      0.1921      1.2201      0.0029     8.944    -0.162     9.634     9.117     8.497
20181212      2458464.0        0.      0.    5.00E+000      0.2712      1.1190      0.0029     9.000    -0.300     7.253     6.939     6.467
20181213      2458465.0      430.      1.    5.00E+000      0.3586      1.0293      0.0029     9.154    -0.234     7.452     7.104     6.760
