model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20190108      2458491.0      145.      0.    5.00E+000      0.0751      1.3625      0.0029     0.000     0.000     0.921     0.934     0.974
20190109      2458492.0    12280.      1.    5.00E+000      0.1318      1.2197      0.0029     0.004     0.002     0.362     0.410     0.467
20190110      2458493.0    11288.      1.    5.00E+000      0.2021      1.0787      0.0029     0.004     0.002     0.576     0.559     0.533
20190124      2458507.0     5185.      1.    5.00E+000      0.8036      0.6858      0.0029     0.006     0.004     0.441     0.769     0.779
20190125      2458508.0     8917.      1.    5.00E+000      0.7046      0.7793      0.0029     0.004     0.003     0.123     0.357     0.485
20190126      2458509.0     6911.      1.    5.00E+000      0.5985      0.8688      0.0029     0.005     0.003     0.589     0.576     0.524
20190127      2458510.0     2522.      1.    5.00E+000      0.4911      0.9503      0.0029     0.011     0.007     1.185     1.177     1.044
20190128      2458511.0     1819.      1.    5.00E+000      0.3873      1.0296      0.0029     0.012     0.007     1.051     1.005     0.979
20190129      2458512.0     4301.      1.    5.00E+000      0.2911      1.1326      0.0029     0.006     0.004     0.739     0.717     0.616
20190130      2458513.0     2453.      1.    5.00E+000      0.2054      1.2485      0.0029     0.011     0.005     1.796     1.667     1.426
