model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -7.463878E-005      2.395170E-005      2.082460E-005      8.161429E-005      9.490802E-005      1.657760E-005
           0.087266                NaN                NaN                NaN      1.117122E-004      3.571468E-005      1.782632E-005
           0.174533                NaN                NaN                NaN      9.572316E-005      2.506355E-005      1.814317E-005
           0.261799                NaN                NaN                NaN     -6.786569E-006      2.040847E-005      1.872515E-005
           0.349066     -9.427720E-005      2.470359E-005      2.140838E-005     -9.192286E-005      1.742376E-005      1.949721E-005
           0.436332                NaN                NaN                NaN     -1.427121E-004      1.612775E-005      2.036985E-005
           0.523599                NaN                NaN                NaN     -9.067027E-005      1.649749E-005      2.124452E-005
           0.610865                NaN                NaN                NaN      4.235683E-005      1.499549E-005      2.201790E-005
           0.698132     -2.646996E-005      1.623687E-005      2.118107E-005      1.345932E-004      1.593739E-005      2.258790E-005
           0.785398                NaN                NaN                NaN      1.999104E-004      1.625455E-005      2.286827E-005
           0.872665                NaN                NaN                NaN      1.849445E-004      1.592203E-005      2.282271E-005
           0.959931                NaN                NaN                NaN     -1.743570E-005      1.838264E-005      2.253898E-005
           1.047198      1.870307E-005      1.825921E-005      2.023509E-005     -2.925450E-004      2.059183E-005      2.236829E-005
           1.134464                NaN                NaN                NaN     -3.520271E-004      2.504230E-005      2.310575E-005
           1.221731                NaN                NaN                NaN      2.526383E-004      3.509029E-005      2.597074E-005
           1.308997                NaN                NaN                NaN      1.727136E-003      7.370867E-005      3.207074E-005
           1.396263      1.030065E-004      1.682898E-005      1.892741E-005      5.707874E-003      2.812379E-004      4.186614E-005
           1.483530                NaN                NaN                NaN                NaN                NaN      5.532834E-005
           1.570796                NaN                NaN                NaN                NaN                NaN      7.230324E-005
           1.745329      1.896905E-004      1.759418E-005      1.779226E-005                NaN                NaN                NaN
           2.094395      1.659976E-004      1.579891E-005      1.733973E-005                NaN                NaN                NaN
           2.443461      2.563743E-005      1.469477E-005      1.773633E-005                NaN                NaN                NaN
           2.792527     -1.324853E-004      1.414019E-005      1.867046E-005                NaN                NaN                NaN
           3.141593     -2.229969E-004      1.383529E-005      1.959303E-005                NaN                NaN                NaN
           3.490659     -1.053986E-004      1.333271E-005      2.003336E-005                NaN                NaN                NaN
           3.839725      8.019067E-005      1.430120E-005      1.977607E-005                NaN                NaN                NaN
           4.188790      1.541431E-004      1.686401E-005      1.892490E-005                NaN                NaN                NaN
           4.537856      1.302835E-004      1.554628E-005      1.787306E-005                NaN                NaN                NaN
           4.886922     -9.262005E-006      1.559217E-005      1.718062E-005                NaN                NaN                NaN
           5.235988     -3.080688E-006      1.676475E-005      1.730332E-005                NaN                NaN                NaN
           5.585054     -9.888168E-005      1.759873E-005      1.826267E-005                NaN                NaN                NaN
           5.934120     -9.582315E-005      2.210037E-005      1.962741E-005                NaN                NaN                NaN
           6.283185     -7.463878E-005      2.395170E-005      2.082460E-005                NaN                NaN                NaN
