model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181100      2458422.0        0.      0.    5.00E+000      0.4544      0.5021      0.0029     0.000     0.000     0.394     0.378     0.347
20181101      2458423.0     3273.      1.    5.00E+000      0.3593      0.6652      0.0029     0.010     0.006     0.285     0.285     0.365
20181102      2458424.0      667.      1.    5.00E+000      0.2544      0.8440      0.0029     0.023     0.012     0.314     0.382     0.516
20181103      2458425.0      142.      1.    5.00E+000      0.1628      1.0198      0.0029     0.110     0.038     0.366     0.362     0.369
20181104      2458426.0     2041.      1.    5.00E+000      0.0892      1.2219      0.0029     0.011     0.006     0.337     0.398     0.522
20181105      2458427.0     3470.      1.    5.00E+000      0.0370      1.4213      0.0029     0.006     0.003     0.380     0.387     0.380
20181106      2458428.0     1003.      1.    5.00E+000      0.0079      1.6247      0.0029     0.019     0.012     0.190     0.219     0.336
20181107      2458429.0    14343.      1.    5.00E+000      0.0029      1.6878      0.0029     0.004     0.002     0.354     0.386     0.423
20181108      2458430.0    21871.      1.    5.00E+000      0.0201      1.5621      0.0029     0.002     0.001     0.308     0.361     0.451
20181109      2458431.0    20877.      1.    5.00E+000      0.0577      1.4697      0.0029     0.003     0.001     0.360     0.431     0.517
20181110      2458432.0     7957.      1.    5.00E+000      0.1124      1.3922      0.0029     0.004     0.002     0.335     0.369     0.392
20181111      2458433.0    19486.      1.    5.00E+000      0.1814      1.2832      0.0029     0.003     0.001     0.426     0.497     0.586
20181112      2458434.0    17227.      1.    5.00E+000      0.2601      1.2107      0.0029     0.003     0.002     0.303     0.367     0.442
20181113      2458435.0     5478.      0.    5.00E+000      0.3471      1.1400      0.0029     0.000     0.000     0.486     0.553     0.688
20181114      2458436.0     4077.      0.    5.00E+000      0.4391      1.0871      0.0029     0.000     0.000     0.586     0.562     0.473
20181115      2458437.0     1828.      1.    5.00E+000      0.5332      1.0377      0.0029     0.013     0.007     0.552     0.548     0.526
20181116      2458438.0     1088.      1.    5.00E+000      0.6262      0.9767      0.0029     0.018     0.011     0.824     0.846     0.733
20181117      2458439.0     1755.      1.    5.00E+000      0.7175      0.9058      0.0029     0.010     0.005     0.895     0.909     0.763
20181118      2458440.0     3151.      1.    5.00E+000      0.8017      0.8273      0.0029     0.007     0.004     0.864     1.036     0.947
20181119      2458441.0        0.      0.    5.00E+000      0.8757      0.7445      0.0029     0.000     0.000     0.888     0.804     0.660
20181120      2458442.0       85.      0.    5.00E+000      0.9357      0.6600      0.0029     0.000     0.000     1.138     1.008     0.874
20181121      2458443.0       39.      0.    5.00E+000      0.9776      0.5788      0.0029     0.000     0.000     0.951     0.960     0.865
20181122      2458444.0      252.      1.    5.00E+000      0.9972      0.5058      0.0029     0.077     0.050     0.989     0.978     0.737
20181123      2458445.0        0.      0.    5.00E+000      0.9917      0.4471      0.0029     0.000     0.000     1.013     0.989     0.918
20181124      2458446.0      681.      1.    5.00E+000      0.9604      0.4104      0.0029     0.022     0.012     1.018     0.980     0.850
20181125      2458447.0       46.      1.    5.00E+000      0.9034      0.3970      0.0029     0.081     0.041     1.140     1.086     0.904
20181126      2458448.0     8446.      1.    5.00E+000      0.8242      0.4099      0.0029     0.004     0.002     1.137     0.963     0.689
20181127      2458449.0        0.      0.    5.00E+000      0.7277      0.4486      0.0029     0.000     0.000     1.199     1.109     0.905
20181128      2458450.0    14460.      1.    5.00E+000      0.6198      0.5090      0.0029     0.003     0.001     1.082     0.923     0.585
20181129      2458451.0     7186.      1.    5.00E+000      0.5068      0.5841      0.0029     0.005     0.003     0.489     0.643     0.575
20181130      2458452.0        0.      0.    5.00E+000      0.4208      2.1885      0.0029     0.000     0.000     0.182     0.198     0.370
