model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20181100      2458422.0        0.      0.    5.00E+000      0.4544      0.5021      0.0029     8.300    -0.300    11.377    11.229    11.153
20181101      2458423.0     3273.      1.    5.00E+000      0.3593      0.6652      0.0029     7.662    -0.074    11.549    11.373    11.133
20181102      2458424.0      667.      1.    5.00E+000      0.2544      0.8440      0.0029     8.062    -0.229    11.963    11.860    11.796
20181103      2458425.0      142.      1.    5.00E+000      0.1628      1.0198      0.0029     7.127    -0.062    11.866    11.767    11.742
20181104      2458426.0     2041.      1.    5.00E+000      0.0892      1.2219      0.0029     8.038    -0.251    12.070    11.834    11.537
20181105      2458427.0     3470.      1.    5.00E+000      0.0370      1.4213      0.0029     8.041    -0.233    11.936    11.675    11.384
20181106      2458428.0     1003.      1.    5.00E+000      0.0079      1.6247      0.0029     7.677    -0.107    11.641    11.394    11.176
20181107      2458429.0    14343.      1.    5.00E+000      0.0029      1.6878      0.0029     7.951    -0.201    11.918    11.633    11.234
20181108      2458430.0    21871.      1.    5.00E+000      0.0201      1.5621      0.0029     8.104    -0.229    11.943    11.638    11.216
20181109      2458431.0    20877.      1.    5.00E+000      0.0577      1.4697      0.0029     8.040    -0.240    12.044    11.795    11.437
20181110      2458432.0     7957.      1.    5.00E+000      0.1124      1.3922      0.0029     7.924    -0.228    11.947    11.717    11.418
20181111      2458433.0    19486.      1.    5.00E+000      0.1814      1.2832      0.0029     8.051    -0.243    12.032    11.767    11.412
20181112      2458434.0    17227.      1.    5.00E+000      0.2601      1.2107      0.0029     7.961    -0.241    12.003    11.728    11.311
20181113      2458435.0     5478.      0.    5.00E+000      0.3471      1.1400      0.0029     8.300    -0.300    12.062    11.803    11.359
20181114      2458436.0     4077.      0.    5.00E+000      0.4391      1.0871      0.0029     8.300    -0.300    12.179    12.054    11.912
20181115      2458437.0     1828.      1.    5.00E+000      0.5332      1.0377      0.0029     7.134    -0.005    11.677    11.504    11.355
20181116      2458438.0     1088.      1.    5.00E+000      0.6262      0.9767      0.0029     7.738    -0.142    12.046    11.837    11.616
20181117      2458439.0     1755.      1.    5.00E+000      0.7175      0.9058      0.0029     7.953    -0.308    11.682    11.631    11.406
20181118      2458440.0     3151.      1.    5.00E+000      0.8017      0.8273      0.0029     7.945    -0.299    10.841    10.685    10.272
20181119      2458441.0        0.      0.    5.00E+000      0.8757      0.7445      0.0029     8.300    -0.300    10.578    10.619    10.780
20181120      2458442.0       85.      0.    5.00E+000      0.9357      0.6600      0.0029     8.300    -0.300     9.293     9.350     9.549
20181121      2458443.0       39.      0.    5.00E+000      0.9776      0.5788      0.0029     8.300    -0.300     8.818     8.791     8.967
20181122      2458444.0      252.      1.    5.00E+000      0.9972      0.5058      0.0029     8.805    -0.023     8.909     8.430     8.261
20181123      2458445.0        0.      0.    5.00E+000      0.9917      0.4471      0.0029     8.300    -0.300     8.840     8.896     9.169
20181124      2458446.0      681.      1.    5.00E+000      0.9604      0.4104      0.0029     8.162    -0.208     9.402     9.298     9.214
20181125      2458447.0       46.      1.    5.00E+000      0.9034      0.3970      0.0029     8.783    -0.208     9.240     9.167     9.337
20181126      2458448.0     8446.      1.    5.00E+000      0.8242      0.4099      0.0029     8.159    -0.256    10.667    10.265    10.054
20181127      2458449.0        0.      0.    5.00E+000      0.7277      0.4486      0.0029     8.300    -0.300    10.677    10.715    10.737
20181128      2458450.0    14460.      1.    5.00E+000      0.6198      0.5090      0.0029     8.149    -0.262    11.609    11.196    10.711
20181129      2458451.0     7186.      1.    5.00E+000      0.5068      0.5841      0.0029     8.024    -0.279    11.470    11.126    10.549
20181130      2458452.0        0.      0.    5.00E+000      0.4208      2.1885      0.0029     8.300    -0.300    11.508    11.123    10.730
