model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      4.328073E-011      8.237806E-010     -5.554709E-009      1.780822E-009     -9.628334E-011      7.962222E-016      1.187268E-014     -2.969448E-014     -1.541621E-012      5.419102E-010
      8.237806E-010      2.322545E-004     -1.418377E-005     -5.702894E-005      2.035670E-006      1.721786E-011      1.147337E-010     -3.901860E-010     -3.225580E-009      8.931109E-006
     -5.554709E-009     -1.418377E-005      3.130268E-004      7.094227E-007     -8.153363E-005      4.176796E-011     -3.917651E-011     -7.727664E-011      6.790303E-009      2.200973E-006
      1.780822E-009     -5.702894E-005      7.094227E-007      3.188054E-005     -7.945284E-008     -7.235247E-012      3.615507E-011      2.486093E-012     -2.602312E-009      9.421907E-006
     -9.628334E-011      2.035670E-006     -8.153363E-005     -7.945284E-008      4.521060E-005     -4.031451E-011     -5.184762E-012      2.743778E-010      7.492206E-009      3.618334E-006
      7.962222E-016      1.721786E-011      4.176796E-011     -7.235247E-012     -4.031451E-011      6.347125E-015     -3.916608E-015     -4.679820E-014      9.916887E-015      1.475601E-011
      1.187268E-014      1.147337E-010     -3.917651E-011      3.615507E-011     -5.184762E-012     -3.916608E-015      5.152312E-013     -6.559509E-013     -1.606871E-013      2.878420E-010
     -2.969448E-014     -3.901860E-010     -7.727664E-011      2.486093E-012      2.743778E-010     -4.679820E-014     -6.559509E-013      1.428107E-012      3.951444E-014     -3.541244E-010
     -1.541621E-012     -3.225580E-009      6.790303E-009     -2.602312E-009      7.492206E-009      9.916887E-015     -1.606871E-013      3.951444E-014      2.934820E-011      1.129441E-009
      5.419102E-010      8.931109E-006      2.200973E-006      9.421907E-006      3.618334E-006      1.475601E-011      2.878420E-010     -3.541244E-010      1.129441E-009      5.281303E-005
