model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20181000      2458391.0      452.     -1.139729E-001      5.350287E+002      6.687601E+002      5.375425E+002      6.737507E+002      2.902616E-003      2.650295E-003      9.231048E-003      1.432370E-003      5.748708E+000
20181001      2458392.0     4674.     -1.153213E-001      5.342457E+002      6.681675E+002      5.379221E+002      6.737827E+002      2.901083E-003      2.734141E-003      9.187340E-003      9.280988E-004      1.135034E+000
20181002      2458393.0    13612.     -1.152862E-001      5.338069E+002      6.678945E+002      5.377104E+002      6.737154E+002      2.903334E-003      2.537211E-003      9.364975E-003      1.039068E-003      1.196984E+000
20181003      2458394.0    10040.     -1.153031E-001      5.337473E+002      6.679368E+002      5.375908E+002      6.737416E+002      2.900114E-003      2.784555E-003      9.154206E-003      1.059366E-003      1.242153E+000
20181004      2458395.0     7043.     -1.153495E-001      5.337396E+002      6.679444E+002      5.375558E+002      6.736700E+002      2.900432E-003      2.742203E-003      9.189603E-003      1.074238E-003      1.224502E+000
20181006      2458397.0    11430.     -1.155687E-001      5.336874E+002      6.678904E+002      5.375267E+002      6.736420E+002      2.901298E-003      2.693637E-003      9.232399E-003      9.971668E-004      1.154087E+000
20181007      2458398.0      186.     -1.157810E-001      5.341861E+002      6.689274E+002      5.375292E+002      6.737136E+002      2.871125E-003      6.078255E-003      7.355578E-003      1.137242E-003      9.819560E-001
20181008      2458399.0    12566.     -1.154736E-001      5.336676E+002      6.679144E+002      5.374811E+002      6.736630E+002      2.900381E-003      2.754760E-003      9.182152E-003      9.890455E-004      1.178358E+000
20181009      2458400.0      298.     -1.153876E-001      5.338484E+002      6.680220E+002      5.374895E+002      6.736766E+002      2.884655E-003      4.284950E-003      8.165179E-003      6.425286E-004      1.562973E+000
20181012      2458403.0    15690.     -1.155297E-001      5.337274E+002      6.679032E+002      5.373874E+002      6.736652E+002      2.902898E-003      2.556817E-003      9.350578E-003      1.070137E-003      1.188521E+000
20181013      2458404.0      667.     -1.153397E-001      5.341110E+002      6.679698E+002      5.372983E+002      6.738224E+002      2.891506E-003      3.523028E-003      8.629612E-003      1.310620E-003      9.267740E-001
20181018      2458409.0    11020.     -1.156397E-001      5.336846E+002      6.679536E+002      5.373682E+002      6.736026E+002      2.899731E-003      2.840295E-003      9.107471E-003      9.894063E-004      1.261342E+000
20181019      2458410.0     5461.     -1.155949E-001      5.337549E+002      6.678699E+002      5.373248E+002      6.736509E+002      2.897269E-003      3.043314E-003      8.946411E-003      1.017764E-003      1.266284E+000
20181020      2458411.0     7009.     -1.156329E-001      5.337379E+002      6.679031E+002      5.373387E+002      6.735580E+002      2.898388E-003      2.907986E-003      9.062240E-003      1.104122E-003      1.252458E+000
20181022      2458413.0     6056.     -1.152561E-001      5.338647E+002      6.678894E+002      5.379391E+002      6.737679E+002      2.900110E-003      2.805296E-003      9.135768E-003      1.053141E-003      1.149838E+000
20181023      2458414.0     6330.     -1.152735E-001      5.336385E+002      6.679553E+002      5.377297E+002      6.737618E+002      2.899812E-003      2.795531E-003      9.149657E-003      1.034356E-003      1.178709E+000
20181024      2458415.0     3450.     -1.153480E-001      5.337751E+002      6.681213E+002      5.375159E+002      6.737015E+002      2.891109E-003      3.530624E-003      8.629383E-003      1.018112E-003      1.483046E+000
20181025      2458416.0      386.     -1.152180E-001      5.334950E+002      6.683594E+002      5.375407E+002      6.737150E+002      2.902936E-003      2.641721E-003      9.242630E-003      9.226645E-004      1.284543E+000
20181030      2458421.0      900.     -1.159657E-001      5.346516E+002      6.687053E+002      5.370770E+002      6.734247E+002      2.891561E-003      3.436227E-003      8.710057E-003      8.406145E-004      1.247140E+000
