model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
     [/]            [/]       [/]              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
20200100      2458848.0     6747.      3.601854E-001      5.040941E+002      6.615176E+002      5.116799E+002      6.629357E+002      2.924593E-003      1.869494E-003      1.002567E-002      3.478935E-003      5.308077E+000
20200101      2458849.0    13913.      3.601540E-001      5.041896E+002      6.615131E+002      5.116115E+002      6.629392E+002      2.917262E-003      2.264612E-003      9.619930E-003      3.039404E-003      5.308238E+000
20200102      2458850.0     3807.      3.602140E-001      5.042423E+002      6.616147E+002      5.116129E+002      6.629360E+002      2.916354E-003      2.261174E-003      9.650104E-003      2.621689E-003      5.299874E+000
20200103      2458851.0     1588.      3.601609E-001      5.047628E+002      6.615991E+002      5.115494E+002      6.629926E+002      2.922517E-003      1.888653E-003      1.001731E-002      3.123411E-003      5.468884E+000
20200104      2458852.0    15305.      3.602046E-001      5.041533E+002      6.615624E+002      5.116842E+002      6.629252E+002      2.916678E-003      2.272921E-003      9.626728E-003      2.794643E-003      5.311057E+000
20200105      2458853.0    12968.      3.602034E-001      5.041986E+002      6.615781E+002      5.116654E+002      6.628792E+002      2.916598E-003      2.268305E-003      9.636070E-003      2.735143E-003      5.294804E+000
20200106      2458854.0      904.      3.602670E-001      5.041479E+002      6.616512E+002      5.116613E+002      6.629236E+002      2.917284E-003      2.168086E-003      9.757885E-003      2.650760E-003      5.353194E+000
20200107      2458855.0       30.      3.594697E-001      5.056943E+002      6.614841E+002      5.112702E+002      6.633484E+002      2.863071E-003      8.212516E-003      6.874902E-003      2.206474E-003      2.423410E-001
20200108      2458856.0     5147.      3.602148E-001      5.042050E+002      6.615992E+002      5.116317E+002      6.628884E+002      2.918295E-003      2.151089E-003      9.756910E-003      2.764055E-003      5.295642E+000
20200109      2458857.0      156.      3.605602E-001      5.053902E+002      6.619960E+002      5.114572E+002      6.629907E+002      2.894913E-003      4.071504E-003      8.375271E-003      1.800225E-003      5.732437E+000
20200111      2458859.0     2109.      3.602675E-001      5.042973E+002      6.616669E+002      5.115897E+002      6.629244E+002      2.912067E-003      2.552248E-003      9.388110E-003      2.414173E-003      5.289429E+000
20200112      2458860.0     4237.      3.603084E-001      5.043342E+002      6.616150E+002      5.116244E+002      6.629118E+002      2.912076E-003      2.618853E-003      9.315372E-003      2.620801E-003      5.321976E+000
20200113      2458861.0      365.      3.598797E-001      5.050695E+002      6.616978E+002      5.114850E+002      6.629506E+002      2.909602E-003      2.640330E-003      9.315441E-003      2.167265E-003      5.449573E+000
20200115      2458863.0      558.      3.604842E-001      5.049802E+002      6.618710E+002      5.115419E+002      6.629694E+002      2.902175E-003      3.250217E-003      8.843258E-003      2.912800E-003      5.423450E+000
20200118      2458866.0     1818.      3.601110E-001      5.047638E+002      6.615726E+002      5.116387E+002      6.629125E+002      2.919649E-003      2.078084E-003      9.837897E-003      2.653614E-003      5.338482E+000
20200119      2458867.0     3884.      3.602456E-001      5.044174E+002      6.616990E+002      5.115941E+002      6.628658E+002      2.910092E-003      2.722585E-003      9.256516E-003      2.090525E-003      5.259300E+000
20200120      2458868.0    12594.      3.602253E-001      5.042366E+002      6.615754E+002      5.116620E+002      6.628831E+002      2.911981E-003      2.638995E-003      9.283859E-003      2.736685E-003      5.317029E+000
20200121      2458869.0     1389.      3.601569E-001      5.041408E+002      6.614728E+002      5.116793E+002      6.629478E+002      2.907842E-003      3.040894E-003      8.937464E-003      2.926177E-003      5.279298E+000
20200122      2458870.0     4546.      3.602441E-001      5.041689E+002      6.616563E+002      5.116255E+002      6.629695E+002      2.915615E-003      2.335909E-003      9.564956E-003      2.880479E-003      5.294897E+000
20200123      2458871.0     3661.      3.602429E-001      5.041133E+002      6.616725E+002      5.116314E+002      6.629130E+002      2.915812E-003      2.297747E-003      9.616659E-003      2.625493E-003      5.305394E+000
20200128      2458876.0     8484.      3.601776E-001      5.041971E+002      6.615466E+002      5.116610E+002      6.629357E+002      2.921910E-003      1.955835E-003      9.948068E-003      3.144298E-003      5.320202E+000
20200129      2458877.0    10145.      3.602030E-001      5.042258E+002      6.615322E+002      5.116223E+002      6.629352E+002      2.916606E-003      2.268250E-003      9.631400E-003      2.833381E-003      5.327179E+000
20200130      2458878.0     2449.      3.601719E-001      5.049821E+002      6.617208E+002      5.115337E+002      6.629391E+002      2.901088E-003      3.598701E-003      8.577025E-003      2.469326E-003      5.286073E+000
