model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20200100      2458848.0     6747.      1.    5.00E+000      0.3104      2.0834      0.0029     8.145    -0.201    11.730    11.320    10.868
20200101      2458849.0    13913.      1.    5.00E+000      0.3869      0.9022      0.0029     7.988    -0.152    11.607    11.248    10.799
20200102      2458850.0     3807.      1.    5.00E+000      0.4802      0.8145      0.0029     8.157    -0.211    10.968    10.830    10.536
20200103      2458851.0     1588.      1.    5.00E+000      0.5748      0.7308      0.0029     7.709    -0.050     8.813     9.064     9.854
20200104      2458852.0    15305.      1.    5.00E+000      0.6679      0.6479      0.0029     8.012    -0.134    10.907    10.681    10.357
20200105      2458853.0    12968.      1.    5.00E+000      0.7566      0.5686      0.0029     8.011    -0.134    10.647    10.449    10.146
20200106      2458854.0      904.      1.    5.00E+000      0.8372      0.4965      0.0029     8.122    -0.271    10.075    10.003     9.706
20200107      2458855.0       30.      1.    5.00E+000      0.9061      0.4363      0.0029     8.431    -0.164     9.857     9.727     9.426
20200108      2458856.0     5147.      1.    5.00E+000      0.9588      0.3934      0.0029     8.245    -0.228    10.053     9.743     9.433
20200109      2458857.0      156.      1.    5.00E+000      0.9910      0.3729      0.0029     8.398    -0.228     7.690     7.997     8.493
20200110      2458858.0        0.      0.    5.00E+000      0.9992      0.3794      0.0029     8.300    -0.300     8.141     8.031     8.113
20200111      2458859.0     2109.      1.    5.00E+000      0.9811      0.4135      0.0029     7.934    -0.110     9.723     9.497     9.192
20200112      2458860.0     4237.      1.    5.00E+000      0.9368      0.4729      0.0029     8.460    -0.253     9.784     9.231     9.288
20200113      2458861.0      365.      1.    5.00E+000      0.8682      0.5528      0.0029     7.765    -0.011     8.774     8.907     9.522
20200114      2458862.0        0.      0.    5.00E+000      0.7795      0.6463      0.0029     8.300    -0.300     8.596     8.787     9.129
20200115      2458863.0      558.      1.    5.00E+000      0.6764      0.7462      0.0029     7.822    -0.018     9.267     9.426    10.003
20200116      2458864.0        0.      0.    5.00E+000      0.5651      0.8466      0.0029     8.300    -0.300     9.015     8.379     9.029
20200117      2458865.0        0.      0.    5.00E+000      0.4516      0.9418      0.0029     8.300    -0.300     8.430     8.828     9.493
20200118      2458866.0     1818.      1.    5.00E+000      0.3426      1.0464      0.0029     7.742    -0.069     9.977    10.210    10.495
20200119      2458867.0     3884.      1.    5.00E+000      0.2429      1.1681      0.0029     7.480    -0.068    11.040    10.897    10.742
20200120      2458868.0    12594.      1.    5.00E+000      0.1569      1.3004      0.0029     7.913    -0.163    11.020    10.991    10.678
20200121      2458869.0     1389.      1.    5.00E+000      0.0878      1.4342      0.0029     7.279    -0.093    10.753    10.756    10.415
20200122      2458870.0     4546.      1.    5.00E+000      0.0381      1.5656      0.0029     7.815    -0.154    11.035    10.981    10.752
20200123      2458871.0     3661.      1.    5.00E+000      0.0090      1.7010      0.0029     7.915    -0.271    10.642    10.791    10.601
20200124      2458872.0        0.      0.    5.00E+000      0.0007      1.8028      0.0029     8.300    -0.300     8.848     8.904     9.151
20200125      2458873.0        0.      0.    5.00E+000      0.0125      1.6084      0.0029     8.300    -0.300     8.653     8.784     8.834
20200126      2458874.0        0.      0.    5.00E+000      0.0430      1.4852      0.0029     8.300    -0.300     8.917     8.489     8.967
20200127      2458875.0        0.      0.    5.00E+000      0.0898      1.3197      0.0029     8.300    -0.300     9.219     9.430    10.185
20200128      2458876.0     8484.      1.    5.00E+000      0.1512      1.1580      0.0029     7.797    -0.143    10.994    11.023    10.822
20200129      2458877.0    10145.      1.    5.00E+000      0.2245      0.9987      0.0029     7.839    -0.124    11.131    11.013    10.695
20200130      2458878.0     2449.      0.    5.00E+000      0.3075      0.8506      0.0029     8.300    -0.300     9.772     9.827    10.380
20200131      2458879.0        0.      0.    5.00E+000      0.3865      0.7151      0.0029     8.300    -0.300     8.137     8.603     9.500
