model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20191213      2458830.0     3689.      1.    5.00E+000      0.9640      0.3580      0.0029     0.007     0.004     0.387     0.484     0.290
20191214      2458831.0       95.      0.    5.00E+000      0.9115      0.3760      0.0029     0.000     0.000     0.898     0.643     0.386
20191215      2458832.0      438.      0.    5.00E+000      0.8376      0.4195      0.0029     0.000     0.000     0.986     0.813     0.508
20191216      2458833.0        0.      0.    5.00E+000      0.7459      0.4854      0.0029     0.000     0.000     0.470     0.378     0.383
20191217      2458834.0        0.      0.    5.00E+000      0.6410      0.5682      0.0029     0.000     0.000     0.681     0.556     0.436
20191218      2458835.0        0.      0.    5.00E+000      0.5286      0.6622      0.0029     0.000     0.000     0.317     0.270     0.269
20191219      2458836.0      419.      1.    5.00E+000      0.4147      0.7708      0.0029     0.023     0.014     0.937     0.752     0.500
20191220      2458837.0        0.      0.    5.00E+000      0.3053      0.9138      0.0029     0.000     0.000     0.744     0.663     0.499
20191221      2458838.0     1356.      0.    5.00E+000      0.2062      1.0613      0.0029     0.000     0.000     1.073     0.864     0.577
20191222      2458839.0     1009.      0.    5.00E+000      0.1232      1.2310      0.0029     0.000     0.000     0.629     0.542     0.405
20191223      2458840.0     8778.      1.    5.00E+000      0.0596      1.4066      0.0029     0.005     0.003     0.201     0.293     0.339
20191224      2458841.0     2577.      1.    5.00E+000      0.0185      1.5722      0.0029     0.014     0.005     1.479     1.172     0.766
20191225      2458842.0     2921.      1.    5.00E+000      0.0010      1.7510      0.0029     0.012     0.006     0.390     0.425     0.478
20191226      2458843.0     4432.      1.    5.00E+000      0.0066      1.6697      0.0029     0.006     0.004     0.601     0.558     0.390
20191227      2458844.0     5587.      1.    5.00E+000      0.0335      1.5224      0.0029     0.006     0.003     0.230     0.256     0.316
20191228      2458845.0     8345.      1.    5.00E+000      0.0793      1.4013      0.0029     0.004     0.003     0.231     0.225     0.252
20191229      2458846.0     3463.      1.    5.00E+000      0.1407      1.2598      0.0029     0.008     0.005     0.187     0.199     0.265
20191230      2458847.0     9503.      1.    5.00E+000      0.2144      1.1235      0.0029     0.004     0.002     0.171     0.197     0.268
20191231      2458848.0     2599.      1.    5.00E+000      0.2866      0.9996      0.0029     0.008     0.005     0.132     0.132     0.229
