model = proj_rotz_exp1_asym
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 a0                 xo                 yo                 xz                 yz                  v                  s                  d                  j                phi
              [rad]               [px]               [px]               [px]               [px]           [rad/px]              [rad]             [1/px]                [/]              [rad]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 
      6.787312E-011     -4.015851E-008      1.599949E-008      1.361436E-009     -2.538328E-009     -8.818801E-016     -7.544194E-015      7.134829E-015      2.349194E-012     -1.058831E-009
     -4.015851E-008      7.226983E-004     -6.537007E-005     -1.374173E-004      1.107775E-005      1.462995E-011     -1.449142E-009      9.774470E-010     -1.492160E-009      1.496489E-005
      1.599949E-008     -6.537007E-005      1.047662E-003      8.066163E-006     -2.059279E-004     -2.630266E-010      9.008136E-010      2.626595E-009      2.366404E-008     -7.824902E-006
      1.361436E-009     -1.374173E-004      8.066163E-006      5.948186E-005     -1.567732E-006     -8.768964E-012     -2.958319E-010      3.514194E-010      2.276913E-009      1.695666E-005
     -2.538328E-009      1.107775E-005     -2.059279E-004     -1.567732E-006      8.411236E-005      1.282718E-010     -3.658653E-010     -9.075954E-010      1.536087E-008     -1.423052E-006
     -8.818801E-016      1.462995E-011     -2.630266E-010     -8.768964E-012      1.282718E-010      1.596284E-014     -3.879407E-014     -1.166246E-013      1.799879E-014      1.031342E-011
     -7.544194E-015     -1.449142E-009      9.008136E-010     -2.958319E-010     -3.658653E-010     -3.879407E-014      1.033301E-011     -5.874704E-012     -2.829405E-012     -1.420582E-009
      7.134829E-015      9.774470E-010      2.626595E-009      3.514194E-010     -9.075954E-010     -1.166246E-013     -5.874704E-012      5.091901E-012      6.998637E-013      2.570368E-010
      2.349194E-012     -1.492160E-009      2.366404E-008      2.276913E-009      1.536087E-008      1.799879E-014     -2.829405E-012      6.998637E-013      8.356472E-011      1.291463E-008
     -1.058831E-009      1.496489E-005     -7.824902E-006      1.695666E-005     -1.423052E-006      1.031342E-011     -1.420582E-009      2.570368E-010      1.291463E-008      1.323025E-004
