model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20180900      2458361.0        0.      0.    5.00E+000      0.7145      0.5737      0.0029     8.300    -0.300     8.175     8.101     8.076
20180901      2458362.0       33.      0.    5.00E+000      0.6252      0.5242      0.0029     8.300    -0.300     8.346     8.152     8.006
20180902      2458363.0      925.      1.    5.00E+000      0.5171      0.5537      0.0029     8.486    -0.264     8.812     8.486     8.284
20180903      2458364.0     4539.      1.    5.00E+000      0.4055      0.6588      0.0029     8.242    -0.159    10.262     9.490     8.839
20180904      2458365.0    10684.      1.    5.00E+000      0.2964      0.8132      0.0029     8.356    -0.191    10.597    10.008     9.217
20180905      2458366.0     9121.      1.    5.00E+000      0.1955      1.0005      0.0029     8.296    -0.245    10.491     9.933     9.120
20180906      2458367.0     7312.      1.    5.00E+000      0.1099      1.1724      0.0029     8.300    -0.300    10.467     9.915     9.134
20180907      2458368.0     1048.      0.    5.00E+000      0.0464      1.3863      0.0029     8.300    -0.300     8.430     8.389     8.433
20180908      2458369.0    10534.      1.    5.00E+000      0.0097      1.5891      0.0029     8.272    -0.232    10.567    10.033     9.212
20180909      2458370.0     3603.      1.    5.00E+000      0.0019      1.6906      0.0029     9.081    -0.280     9.386     8.970     8.767
20180910      2458371.0    10666.      1.    5.00E+000      0.0223      1.5845      0.0029     8.319    -0.191    10.542     9.968     9.154
20180911      2458372.0     9617.      1.    5.00E+000      0.0681      1.5005      0.0029     8.359    -0.276    10.520     9.914     9.115
20180912      2458373.0     1962.      0.    5.00E+000      0.1343      1.4149      0.0029     8.300    -0.300     9.812     9.225     8.681
20180913      2458374.0        0.      0.    5.00E+000      0.2157      1.3374      0.0029     8.300    -0.300     9.227     8.913     8.842
20180914      2458375.0     7392.      1.    5.00E+000      0.3065      1.2482      0.0029     8.300    -0.300    10.420     9.777     8.900
20180915      2458376.0     1649.      0.    5.00E+000      0.4032      1.1970      0.0029     8.300    -0.300     9.875     9.321     8.460
20180916      2458377.0     3801.      1.    5.00E+000      0.5008      1.1614      0.0029     8.774    -0.170     9.830     8.906     7.861
20180917      2458378.0     3572.      1.    5.00E+000      0.5963      1.1398      0.0029     8.161    -0.247     9.903     9.554     9.067
20180918      2458379.0     4370.      1.    5.00E+000      0.6872      1.1323      0.0029     8.060    -0.088     9.860     9.353     8.642
20180919      2458380.0     3545.      1.    5.00E+000      0.7706      1.1171      0.0029     8.962    -0.550     9.852     9.330     8.626
20180920      2458381.0     8276.      1.    5.00E+000      0.8444      1.0857      0.0029     8.242    -0.221    10.208     9.631     8.870
20180921      2458382.0     5908.      1.    5.00E+000      0.9067      1.0393      0.0029     8.324    -0.296     9.951     9.390     8.655
20180922      2458383.0     4755.      1.    5.00E+000      0.9544      0.9806      0.0029     8.283    -0.282     9.694     9.203     8.640
20180923      2458384.0     4583.      1.    5.00E+000      0.9857      0.9113      0.0029     8.486    -0.296     9.559     8.859     8.299
20180924      2458385.0     4443.      1.    5.00E+000      0.9982      0.8347      0.0029     8.370    -0.185     9.518     8.952     8.384
20180925      2458386.0     6366.      1.    5.00E+000      0.9909      0.7538      0.0029     8.381    -0.224     9.671     9.244     8.663
20180926      2458387.0     6471.      1.    5.00E+000      0.9627      0.6720      0.0029     8.398    -0.223     9.766     9.329     8.705
20180927      2458388.0     4639.      1.    5.00E+000      0.9139      0.5937      0.0029     8.393    -0.275     9.466     8.895     8.438
20180928      2458389.0     4567.      1.    5.00E+000      0.8456      0.5231      0.0029     8.329    -0.211     9.590     8.914     8.437
20180929      2458390.0     7642.      1.    5.00E+000      0.7600      0.4647      0.0029     8.297    -0.252    10.107     9.677     9.041
