model = proj_rotz_exp1_asym
-------------------------------------------------------------------------------------------------------------------------------------
             angle     bias_az*sin(zd)     std_az*sin(zd)     int_az*sin(zd)            bias_zd             std_zd             int_zd
              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]              [rad]
-------------------------------------------------------------------------------------------------------------------------------------
 
           0.000000     -3.267280E-005      3.498375E-005      4.967893E-005     -4.004591E-005      1.952945E-004      4.107121E-005
           0.087266                NaN                NaN                NaN      1.218821E-004      5.726770E-005      4.086574E-005
           0.174533                NaN                NaN                NaN      1.366427E-004      3.842561E-005      4.131715E-005
           0.261799                NaN                NaN                NaN      1.391272E-004      3.418168E-005      4.231772E-005
           0.349066     -3.384122E-005      2.788055E-005      5.026495E-005      1.058048E-004      3.125298E-005      4.370029E-005
           0.436332                NaN                NaN                NaN      2.593861E-005      3.268275E-005      4.526827E-005
           0.523599                NaN                NaN                NaN     -7.026231E-005      3.082633E-005      4.680909E-005
           0.610865                NaN                NaN                NaN     -6.284282E-005      3.010583E-005      4.810952E-005
           0.698132      1.546333E-005      3.045176E-005      4.873576E-005     -3.064990E-005      3.308260E-005      4.898069E-005
           0.785398                NaN                NaN                NaN     -3.285876E-005      3.374738E-005      4.931015E-005
           0.872665                NaN                NaN                NaN     -4.033345E-005      3.814590E-005      4.917138E-005
           0.959931                NaN                NaN                NaN     -4.307614E-005      4.412744E-005      4.903199E-005
           1.047198      5.284503E-005      3.716945E-005      4.567581E-005     -4.032945E-005      4.756750E-005      5.005971E-005
           1.134464                NaN                NaN                NaN      2.707489E-004      6.617040E-005      5.429030E-005
           1.221731                NaN                NaN                NaN      8.381428E-004      1.028889E-004      6.413441E-005
           1.308997                NaN                NaN                NaN      2.583006E-003      3.041946E-004      8.132851E-005
           1.396263      3.266262E-005      3.209721E-005      4.263760E-005      5.615890E-004      2.065248E-003      1.065146E-004
           1.483530                NaN                NaN                NaN                NaN                NaN      1.397219E-004
           1.570796                NaN                NaN                NaN                NaN                NaN      1.808478E-004
           1.745329      3.054822E-005      3.386728E-005      4.210434E-005                NaN                NaN                NaN
           2.094395     -7.115963E-005      3.979027E-005      4.401911E-005                NaN                NaN                NaN
           2.443461     -9.346253E-005      4.260465E-005      4.797172E-005                NaN                NaN                NaN
           2.792527     -1.426979E-004      4.474250E-005      5.071641E-005                NaN                NaN                NaN
           3.141593     -1.743806E-004      3.770141E-005      5.233805E-005                NaN                NaN                NaN
           3.490659     -7.242174E-005      3.294569E-005      5.159501E-005                NaN                NaN                NaN
           3.839725      1.181103E-005      3.303340E-005      4.869062E-005                NaN                NaN                NaN
           4.188790      1.958683E-005      3.539810E-005      4.448981E-005                NaN                NaN                NaN
           4.537856     -7.167778E-005      3.032526E-005      4.054113E-005                NaN                NaN                NaN
           4.886922      1.209053E-005      2.849250E-005      3.907441E-005                NaN                NaN                NaN
           5.235988      1.238679E-004      2.389422E-005      4.025815E-005                NaN                NaN                NaN
           5.585054      8.873719E-005      2.699091E-005      4.389053E-005                NaN                NaN                NaN
           5.934120     -4.406774E-005      4.288969E-005      4.708665E-005                NaN                NaN                NaN
           6.283185     -3.267280E-005      3.498375E-005      4.967893E-005                NaN                NaN                NaN
