model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale         c         k         z         m         l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20200100      2458848.0     7540.      1.    5.00E+000      0.3103      2.0960      0.0029     8.314    -0.268    11.756    11.362    10.909
20200101      2458849.0    18021.      1.    5.00E+000      0.3866      0.9246      0.0029     8.186    -0.218    11.674    11.348    10.881
20200102      2458850.0    12467.      1.    5.00E+000      0.4799      0.8383      0.0029     8.111    -0.189    11.501    11.110    10.606
20200103      2458851.0    10662.      1.    5.00E+000      0.5745      0.7547      0.0029     8.200    -0.216    11.521    11.139    10.568
20200104      2458852.0    14017.      1.    5.00E+000      0.6676      0.6717      0.0029     8.223    -0.226    11.345    10.980    10.525
20200105      2458853.0     1598.      1.    5.00E+000      0.7562      0.5923      0.0029     8.346    -0.296    10.821    10.689    10.280
20200106      2458854.0     8797.      1.    5.00E+000      0.8369      0.5204      0.0029     8.248    -0.239    10.769    10.490    10.077
20200107      2458855.0     6472.      1.    5.00E+000      0.9058      0.4601      0.0029     8.304    -0.275    10.328    10.207     9.804
20200108      2458856.0        0.      0.    5.00E+000      0.9587      0.4172      0.0029     8.300    -0.300     8.647     8.740     8.723
20200109      2458857.0      854.      1.    5.00E+000      0.9909      0.3964      0.0029     8.414    -0.320     9.878     9.658     9.300
20200110      2458858.0       99.      1.    5.00E+000      0.9992      0.4025      0.0029     8.399    -0.301     9.656     9.317     8.983
20200111      2458859.0     1867.      1.    5.00E+000      0.9813      0.4367      0.0029     8.292    -0.290     9.574     9.590     9.325
20200112      2458860.0     4380.      1.    5.00E+000      0.9370      0.4960      0.0029     8.118    -0.223    10.158     9.894     9.507
20200113      2458861.0     4967.      1.    5.00E+000      0.8684      0.5759      0.0029     8.339    -0.294    10.143    10.109     9.914
20200114      2458862.0     4651.      1.    5.00E+000      0.7798      0.6690      0.0029     8.032    -0.199    10.937    10.635    10.250
20200115      2458863.0     8417.      1.    5.00E+000      0.6767      0.7691      0.0029     8.027    -0.180    11.284    10.939    10.511
20200116      2458864.0    13267.      1.    5.00E+000      0.5655      0.8696      0.0029     8.132    -0.217    11.544    11.150    10.629
20200117      2458865.0       83.      0.    5.00E+000      0.4520      0.9648      0.0029     8.300    -0.300    10.818    10.609    10.391
20200118      2458866.0        0.      0.    5.00E+000      0.3430      1.0633      0.0029     8.300    -0.300    10.685    10.324    10.166
20200119      2458867.0     3452.      1.    5.00E+000      0.2436      1.1921      0.0029     8.119    -0.262    11.000    10.545    10.262
20200120      2458868.0    15877.      1.    5.00E+000      0.1574      1.3217      0.0029     8.172    -0.226    11.718    11.370    10.895
20200121      2458869.0     3315.      1.    5.00E+000      0.0883      1.4556      0.0029     7.916    -0.177    10.866    10.433    10.156
20200122      2458870.0    18370.      1.    5.00E+000      0.0384      1.5785      0.0029     8.158    -0.195    11.787    11.410    10.967
20200123      2458871.0    17517.      1.    5.00E+000      0.0092      1.7176      0.0029     8.201    -0.231    11.761    11.381    10.932
20200124      2458872.0      599.      1.    5.00E+000      0.0007      1.8014      0.0029     7.933    -0.527    10.992    10.660    10.245
20200125      2458873.0        0.      0.    5.00E+000      0.0124      1.6537      0.0029     8.300    -0.300    11.280    11.169    11.134
20200126      2458874.0     2739.      1.    5.00E+000      0.0427      1.4911      0.0029     8.294    -0.306    11.844    11.474    10.960
20200127      2458875.0        0.      0.    5.00E+000      0.0896      1.3292      0.0029     8.300    -0.300    11.385    11.300    11.311
20200128      2458876.0     9904.      1.    5.00E+000      0.1510      1.1686      0.0029     8.157    -0.222    11.695    11.372    10.924
20200129      2458877.0    16814.      1.    5.00E+000      0.2242      1.0127      0.0029     8.175    -0.215    11.790    11.410    10.951
20200130      2458878.0     6681.      1.    5.00E+000      0.3072      0.8661      0.0029     8.248    -0.217    11.076    10.611    10.316
20200131      2458879.0     8336.      1.    5.00E+000      0.3861      0.7342      0.0029     8.159    -0.213    11.557    11.259    10.847
