model = proj_asin1
--------------------------------------------------------------------------------------------------------------------------------------------
    date    julian_date         n       f          exp        m_ph        m_zd       scale       s_c       s_k       s_z       s_m       s_l
     [/]            [/]       [/]     [/]        [sec]         [/]       [rad]    [rad/px]       [/]       [/]       [/]       [/]       [/]
--------------------------------------------------------------------------------------------------------------------------------------------
 
20200100      2458848.0     7540.      1.    5.00E+000      0.3103      2.0960      0.0029     0.004     0.002     0.317     0.380     0.502
20200101      2458849.0    18021.      1.    5.00E+000      0.3866      0.9246      0.0029     0.002     0.001     0.282     0.367     0.472
20200102      2458850.0    12467.      1.    5.00E+000      0.4799      0.8383      0.0029     0.003     0.001     0.682     0.699     0.646
20200103      2458851.0    10662.      1.    5.00E+000      0.5745      0.7547      0.0029     0.003     0.001     1.068     1.145     0.966
20200104      2458852.0    14017.      1.    5.00E+000      0.6676      0.6717      0.0029     0.002     0.001     0.405     0.643     0.465
20200105      2458853.0     1598.      1.    5.00E+000      0.7562      0.5923      0.0029     0.009     0.003     0.540     0.772     0.628
20200106      2458854.0     8797.      1.    5.00E+000      0.8369      0.5204      0.0029     0.003     0.001     0.561     0.749     0.542
20200107      2458855.0     6472.      1.    5.00E+000      0.9058      0.4601      0.0029     0.004     0.002     0.719     0.781     0.593
20200108      2458856.0        0.      0.    5.00E+000      0.9587      0.4172      0.0029     0.000     0.000     1.020     0.936     0.684
20200109      2458857.0      854.      1.    5.00E+000      0.9909      0.3964      0.0029     0.015     0.009     0.524     0.591     0.432
20200110      2458858.0       99.      1.    5.00E+000      0.9992      0.4025      0.0029     0.053     0.033     0.560     0.671     0.459
20200111      2458859.0     1867.      1.    5.00E+000      0.9813      0.4367      0.0029     0.008     0.004     0.713     0.657     0.466
20200112      2458860.0     4380.      1.    5.00E+000      0.9370      0.4960      0.0029     0.004     0.002     0.758     0.844     0.708
20200113      2458861.0     4967.      1.    5.00E+000      0.8684      0.5759      0.0029     0.007     0.004     0.991     0.988     0.567
20200114      2458862.0     4651.      1.    5.00E+000      0.7798      0.6690      0.0029     0.005     0.002     0.509     0.860     0.651
20200115      2458863.0     8417.      1.    5.00E+000      0.6767      0.7691      0.0029     0.004     0.002     0.372     0.793     0.642
20200116      2458864.0    13267.      1.    5.00E+000      0.5655      0.8696      0.0029     0.002     0.001     0.442     0.752     0.631
20200117      2458865.0       83.      0.    5.00E+000      0.4520      0.9648      0.0029     0.000     0.000     0.477     0.459     0.510
20200118      2458866.0        0.      0.    5.00E+000      0.3430      1.0633      0.0029     0.000     0.000     0.214     0.236     0.277
20200119      2458867.0     3452.      1.    5.00E+000      0.2436      1.1921      0.0029     0.006     0.003     0.356     0.407     0.566
20200120      2458868.0    15877.      1.    5.00E+000      0.1574      1.3217      0.0029     0.002     0.001     0.225     0.278     0.416
20200121      2458869.0     3315.      1.    5.00E+000      0.0883      1.4556      0.0029     0.006     0.004     0.467     0.499     0.599
20200122      2458870.0    18370.      1.    5.00E+000      0.0384      1.5785      0.0029     0.002     0.001     0.243     0.293     0.413
20200123      2458871.0    17517.      1.    5.00E+000      0.0092      1.7176      0.0029     0.002     0.001     0.260     0.312     0.425
20200124      2458872.0      599.      1.    5.00E+000      0.0007      1.8014      0.0029     0.021     0.015     0.360     0.342     0.450
20200125      2458873.0        0.      0.    5.00E+000      0.0124      1.6537      0.0029     0.000     0.000     0.265     0.334     0.460
20200126      2458874.0     2739.      1.    5.00E+000      0.0427      1.4911      0.0029     0.008     0.004     0.347     0.414     0.514
20200127      2458875.0        0.      0.    5.00E+000      0.0896      1.3292      0.0029     0.000     0.000     0.342     0.345     0.359
20200128      2458876.0     9904.      1.    5.00E+000      0.1510      1.1686      0.0029     0.004     0.002     0.336     0.415     0.501
20200129      2458877.0    16814.      1.    5.00E+000      0.2242      1.0127      0.0029     0.002     0.001     0.386     0.414     0.506
20200130      2458878.0     6681.      1.    5.00E+000      0.3072      0.8661      0.0029     0.004     0.002     0.692     0.763     0.804
20200131      2458879.0     8336.      1.    5.00E+000      0.3861      0.7342      0.0029     0.004     0.002     0.338     0.446     0.473
